[20:05:08] очереди деталей: issues=5715, pr_merged=4089, pr_other=1405; стартовые позиции: 36/0/0
[20:08:40] issue: 1188/5715 (всего 1188/11209) cost=1 rem=4899, ETA~0.5ч
[20:08:42] issue: 1200/5715 (всего 1200/11209) cost=1 rem=4898, ETA~0.5ч
[20:08:43] issue: 1212/5715 (всего 1212/11209) cost=1 rem=4897, ETA~0.5ч
[20:08:45] issue: 1224/5715 (всего 1224/11209) cost=1 rem=4896, ETA~0.5ч
[20:08:47] issue: 1236/5715 (всего 1236/11209) cost=1 rem=4895, ETA~0.5ч
[20:08:50] issue: 1248/5715 (всего 1248/11209) cost=1 rem=4894, ETA~0.5ч
[20:08:51] issue: 1260/5715 (всего 1260/11209) cost=1 rem=4893, ETA~0.5ч
[20:08:53] issue: 1272/5715 (всего 1272/11209) cost=1 rem=4892, ETA~0.5ч
[20:08:55] issue: 1284/5715 (всего 1284/11209) cost=1 rem=4891, ETA~0.5ч
[20:08:57] issue: 1296/5715 (всего 1296/11209) cost=1 rem=4890, ETA~0.5ч
[20:08:59] issue: 1308/5715 (всего 1308/11209) cost=1 rem=4889, ETA~0.5ч
[20:09:00] issue: 1320/5715 (всего 1320/11209) cost=1 rem=4888, ETA~0.5ч
[20:09:01] issue: 1332/5715 (всего 1332/11209) cost=1 rem=4887, ETA~0.5ч
[20:09:03] issue: 1344/5715 (всего 1344/11209) cost=1 rem=4886, ETA~0.5ч
[20:09:05] issue: 1356/5715 (всего 1356/11209) cost=1 rem=4885, ETA~0.5ч
[20:09:07] issue: 1368/5715 (всего 1368/11209) cost=1 rem=4884, ETA~0.5ч
[20:09:09] issue: 1380/5715 (всего 1380/11209) cost=1 rem=4883, ETA~0.5ч
[20:09:12] issue: 1392/5715 (всего 1392/11209) cost=1 rem=4882, ETA~0.5ч
[20:09:14] issue: 1404/5715 (всего 1404/11209) cost=1 rem=4881, ETA~0.5ч
[20:09:16] issue: 1416/5715 (всего 1416/11209) cost=1 rem=4880, ETA~0.5ч
[20:09:17] issue: 1428/5715 (всего 1428/11209) cost=1 rem=4879, ETA~0.5ч
[20:09:20] issue: 1440/5715 (всего 1440/11209) cost=1 rem=4878, ETA~0.5ч
[20:09:23] issue: 1452/5715 (всего 1452/11209) cost=1 rem=4877, ETA~0.5ч
[20:09:24] issue: 1464/5715 (всего 1464/11209) cost=1 rem=4876, ETA~0.5ч
[20:09:26] issue: 1476/5715 (всего 1476/11209) cost=1 rem=4875, ETA~0.5ч
[20:09:28] issue: 1488/5715 (всего 1488/11209) cost=1 rem=4874, ETA~0.5ч
[20:09:30] issue: 1500/5715 (всего 1500/11209) cost=1 rem=4873, ETA~0.5ч
